year,state,area,population,value,unit,note
2011,Goa,3702,Urban,906814,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Gujarat,196244,Urban,25745083,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Haryana,44212,Urban,8842103,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Himachal Pradesh,55673,Urban,688552,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jammu and Kashmir,222236,Urban,3433242,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Jharkhand,79716,Urban,7933061,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Karnataka,191791,Urban,23625962,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Kerala,38852,Urban,15934926,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Madhya Pradesh,308252,Urban,20069405,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Maharashtra,307713,Urban,50818259,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Manipur,22327,Urban,834154,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Meghalaya,22429,Urban,595450,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Mizoram,21081,Urban,571771,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Nagaland,16579,Urban,570966,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Odisha,155707,Urban,7003656,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Punjab,50362,Urban,10399146,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Rajasthan,342239,Urban,17048085,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Sikkim,7096,Urban,153578,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tamil Nadu,130060,Urban,34917440,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Tripura,10486,Urban,961453,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttar Pradesh,240928,Urban,44495063,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Uttarakhand,53483,Urban,3049338,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,West Bengal,88752,Urban,29093002,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Andaman and Nicobar Islands,8249,Urban,143488,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Chandigarh,114,Urban,1026459,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Dadra and Nagar Haveli,491,Urban,160595,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Daman and Diu,111,Urban,182851,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Delhi,1483,Urban,16368899,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Lakshadweep,30,Urban,50332,"Area_in_Square_Kilometers, Population Value in Absolute Number",
2011,Puducherry,490,Urban,852753,"Area_in_Square_Kilometers, Population Value in Absolute Number",
